tail_number,origin_airport,destination_airport,airline,flight_number,departure_delay,scheduled_time,elapsed_time
N776SK,SLC,IAH,OO,5184,-3,193,180
N78448,SFO,IAH,UA,1197,-6,218,217
N78509,DCA,IAH,UA,1540,5,209,197
N792AS,FAI,ANC,AS,162,-16,73,80
N794JB,JFK,BQN,B6,939,0,221,202
N794SK,OMA,IAH,OO,5160,15,140,146
N79521,PHL,IAH,UA,1201,2,230,234
N804AW,ANC,PHX,US,617,-9,323,322
N806DN,PDX,MSP,DL,1670,-5,193,186
N808UA,CLE,IAH,UA,507,39,194,198
N824AS,BOI,SFO,OO,5484,5,112,110
N826DN,LAS,ATL,DL,1173,3,221,203
N830UA,MSP,DEN,UA,210,-4,139,120
N831UA,PIT,IAH,UA,544,22,195,197
N832AS,SBN,ORD,EV,5764,-3,55,44
N835AS,BDL,IAD,EV,5698,-7,88,76
N847UA,RNO,DEN,UA,422,-3,130,147
N849AS,PIA,DTW,EV,5241,-5,88,75
N853AA,LAS,MIA,AA,1674,-8,268,266
N8641B,PVD,BWI,WN,4859,6,100,81
N87531,SFO,LAX,UA,1224,5,88,72
N882AS,VPS,ATL,EV,5583,-6,66,57
N8982A,HIB,MSP,OO,7404,-10,68,78
N905EV,TYR,DFW,EV,2519,-9,50,50
N905FR,MSN,DEN,F9,161,-10,145,144
N910DN,MCI,ATL,DL,941,6,122,101
N910SW,ONT,DEN,OO,5547,119,141,138
N910WN,PIT,FLL,WN,2787,-1,170,145
N917SW,BFL,DEN,OO,6204,6,150,164
N918FR,PHL,MCO,F9,1279,-4,160,146
N925MQ,ABI,DFW,MQ,3534,NULL,55,NULL
N925SW,FAT,LAX,OO,6512,-5,75,80
N926SW,IDA,DEN,OO,6358,-2,104,113
N932MQ,CHS,DFW,MQ,2926,NULL,190,NULL
N933FR,MSP,DEN,F9,117,-7,129,128
N934SW,SBA,DEN,OO,5482,-3,154,167
N956SW,RDM,DEN,OO,6224,-1,143,150
N958DN,DEN,ATL,DL,2336,-6,173,149
N962SW,MFR,DEN,OO,6285,-2,161,188
N966DL,GSP,ATL,DL,2453,0,59,59
